id,world,phase,energyCap,par,introMechanicTags,obstacles,hostileCount,notes
W1-01,1,1,30,18,connect,0,1,"Pure onboarding. One full-strength player cell versus one weak red cell to teach the first direct connection."
W1-02,1,2,50,40,priority-target,0,2,"Early branching pressure. One weak red falls first, then the player pivots into the second target."
W1-03,1,3,70,70,"slice|pulsar-class",0,1,"First slice read with a strong player start, two cheap neutrals, and one distant red anchor."
W1-04,1,4,50,75,"",0,1,"Routing via two neutrals before the final push. This is no longer tagged as the first support-loop lesson."
W1-05,1,5,60,100,obstacle-routing,2,1,"First obstacle-routing phase. Two circle blockers force relay expansion before the red stronghold."
W1-06,1,6,100,127,"",0,1,"First mirrored route decision after the blocker intro. Two player starts can take opposite neutrals before collapsing the center."
W1-07,1,7,100,117,"",0,2,"Twin-front pressure. Neutral timing matters because the two reds punish slow expansion."
W1-08,1,8,60,66,"",0,2,"Asymmetric pressure. One supporting allied flank plus two contested neutrals before the stronger lower-right red."
W1-09,1,9,150,157,"",0,3,"First strong central defender. Player should avoid tunnel vision on the center until the side reds are stabilized."
W1-10,1,10,80,80,"",0,3,"Three-red pressure spread. The center neutral helps the player consolidate before the final outer push."
W1-11,1,11,60,61,"",0,2,"Wide expansion check. Three neutrals create safer pacing if claimed in order instead of rushed straight into the reds."
W1-12,1,12,100,102,"",0,3,"Central stronghold with side escorts. Encourages side trimming before the final breach."
W1-13,1,13,150,154,"",2,3,"Obstacle wave starts. Dual circles force clearer lane routing without turning the phase into a maze."
W1-14,1,14,150,155,"",2,2,"Obstacle-assisted center contest. The middle neutral becomes the safest pivot once the side blockers are read correctly."
W1-15,1,15,100,104,"",3,2,"Reinforced route-reading. Triple blockers force commitment choice instead of straight-line feeding."
W1-16,1,16,30,31,"",4,3,"Most obstacle-dense World 1 non-boss phase. Low power limit is the constraint: the player must disconnect and reconnect to advance."
W1-17,1,17,70,74,"",0,4,"Repeated-cut mastery check. Two mirrored red chains reward precise disruption and timing."
W1-18,1,18,200,211,"",0,3,"Support-loop mastery plus one strong finisher. Player opening is wider, but the late push must still be coordinated."
W1-19,1,19,100,106,"",0,3,"Pre-boss endurance. Three player starts can snowball only if neutrals are converted into a stable support web."
W1-20,1,20,200,219,"",3,4,"World 1 boss closure. Multi-stage red line with obstacle choke and late stronghold; meant to reward loop setup before the breach."
W2-01,2,1,120,80,purple-intro,0,3,"Purple Menace opens immediately. One player start faces twin reds and the first purple anchor on the far edge."
W2-02,2,2,140,95,two-front,0,2,"Two-front lesson. One red and one purple squeeze the same center neutral from opposite diagonals."
W2-03,2,3,160,108,"",0,2,"Mirrored starts against split-color pressure. The player stabilizes both flanks before the red-purple line collapses inward."
W2-04,2,4,180,120,contested-center,0,3,"First explicit contested-center phase. The middle neutral is the only safe route between red and purple fronts."
W2-05,2,5,200,132,"",0,2,"Expanded center contest. Two neutrals must be claimed before either hostile color can snowball across the middle."
W2-06,2,6,180,142,"",0,3,"Purple becomes a primary force. Two player starts must choose whether to split into purple first or red first."
W2-07,2,7,220,158,"",0,3,"Mid-game pressure spike. Side neutrals keep the player alive long enough to break the purple-leaning right side."
W2-08,2,8,200,150,"",0,2,"Three-neutral routing puzzle. The coalition is still hostile overall, but the pressure timings are asymmetrical."
W2-09,2,9,240,176,"",0,3,"Broad center web. Multiple neutrals and two purple cells create a denser contested-center timing check."
W2-10,2,10,250,188,"",0,4,"First high-pressure coalition spread. Four hostiles cover both diagonals and punish passive consolidation."
W2-11,2,11,180,144,"",0,2,"Spacing check before obstacle density rises. The player uses the middle neutral to stop red and purple from meeting."
W2-12,2,12,220,170,"",0,3,"Late no-obstacle escalation. The center neutral remains critical, but purple now carries the heavier side."
W2-13,2,13,240,190,"",2,3,"Obstacle-assisted routing starts. Capsule blockers split the lane geometry before the purple cluster can snowball."
W2-14,2,14,260,210,"",3,3,"Obstacle braid around a center neutral. The player must read both blocker gaps and hostile timing together."
W2-15,2,15,300,236,"",4,3,"Heavy-routing phase. Four capsules force commitment and make overextension into purple especially costly."
W2-16,2,16,50,78,"",4,3,"World 2 low-cap constraint. Two purple cells plus dense blockers force disconnect-reconnect discipline under a tiny cap."
W2-17,2,17,220,182,"",2,4,"Pre-boss escalation begins. Mixed red/purple lanes threaten both sides while the player fights for a narrow middle."
W2-18,2,18,260,214,"",3,4,"Late coalition pressure with layered blockers. Stable neutral timing matters more than raw opening aggression."
W2-19,2,19,300,238,"",4,4,"Final pre-boss endurance. The player must turn central neutrals into a durable cross-map support web."
W2-20,2,20,350,280,"",4,4,"World 2 boss closure. Two reds and two purples hold a capsule choke around the last central breach."
W3-01,3,1,200,118,labyrinth-intro,1,2,"World 3 opens with immediate obstacle routing. One player cell chooses the top or bottom corridor around a central capsule wall."
W3-02,3,2,180,126,dual-corridor,2,2,"Twin player starts learn mirrored corridor routing around left-side blockers before red and purple can stabilize."
W3-03,3,3,150,112,"",2,2,"Single-start detour phase. Two side neutrals sit behind split corridors before the first hostile pair."
W3-04,3,4,220,138,"",2,2,"Dual-start lane braiding. Both player cells fold through one center neutral before pressure reaches the right flank."
W3-05,3,5,250,156,detour-neutral,3,2,"First obstacle-wall neutral contest. Top and bottom neutrals feed into a central breach behind a vertical capsule gate."
W3-06,3,6,220,148,"",3,3,"Two-entry routing check. Center support neutral anchors a push into one red and two purple fronts."
W3-07,3,7,260,164,"",3,2,"Single-start obstacle weave. Player must route through the upper or lower neutral before the center wall opens."
W3-08,3,8,240,170,"",3,3,"Purple count starts to climb. Dual starts pressure a center neutral while upper and lower purples threaten the far side."
W3-09,3,9,300,196,"",4,3,"Obstacle-first center web. One player start must choose side neutrals or a deeper center pivot before the coalition closes."
W3-10,3,10,280,198,"",4,3,"Dense mid-world routing. Three neutrals and four capsules create the first true World 3 labyrinth pressure phase."
W3-11,3,11,240,188,"",4,4,"Single-start endurance under heavy purple presence. Early neutral timing matters more than brute-force feeding."
W3-12,3,12,320,220,"",4,3,"Dual-start escalation. Symmetric neutrals and four blockers create a broad but still readable obstacle map."
W3-13,3,13,300,214,"",4,4,"Purple-heavy routing pressure. One player start must build a stable chain through side neutrals before the center collapses."
W3-14,3,14,350,240,"",4,3,"Two-player breach around mirrored diagonal blockers. Reads as the last relatively open layout before the maze stretch."
W3-15,3,15,320,246,maze-routing,5,3,"Maze phase. A single player start must spot the one viable corridor chain through five capsules before purple snowballs."
W3-16,3,16,60,92,"",5,3,"Low-cap labyrinth constraint. One player start and five blockers force careful disconnect-reconnect discipline under a tiny cap."
W3-17,3,17,240,204,"",5,4,"Coalition endgame opens. Two player starts push through narrow alternating corridors against a red-purple spread."
W3-18,3,18,320,232,"",5,4,"Late-world obstacle gauntlet. Single-start expansion through three neutrals is mandatory before the outer purple pair overwhelms the field."
W3-19,3,19,350,252,"",6,4,"Heavy-fortress pre-boss. Six capsules carve the map into staggered lanes and punish any rushed direct line."
W3-20,3,20,450,320,"",6,4,"World 3 boss closure. Two player starts breach a six-capsule fortress holding two reds and two purples behind a central choke."
W4-01,4,1,300,176,"",2,2,"World 4 opens already at endgame pressure. One player start must read the first split obstacle pair and claim a safe side neutral before the coalition settles."
W4-02,4,2,240,164,"",3,3,"Dual-start compression. A central neutral sits behind a vertical capsule gate while red and purple already cover the far side."
W4-03,4,3,280,182,"",3,3,"Single-start hostile spread. Two near neutrals keep the opening alive, but red pressure and a far purple punish overcommit."
W4-04,4,4,320,196,"",3,3,"Two-player mirrored breach. The left pair must stabilize through one center pivot before the right-side coalition converges."
W4-05,4,5,350,212,"",3,3,"Guarded-neutral endgame opener. Three capsules create a hard center wall before the player can reach the first red-purple line."
W4-06,4,6,260,204,"",3,4,"Equal-cell survival check. Two player starts face four hostiles through a single support neutral and a center wall."
W4-07,4,7,300,222,"",4,4,"Single-start fortress weave. One viable relay chain exists through side neutrals before the hostile wedge closes."
W4-08,4,8,340,238,"",4,4,"Broad dual-start pressure. Diagonal capsule pairs create two mirrored breach routes with a late right-side collapse."
W4-09,4,9,380,258,"",4,4,"Single-start coalition web. Three neutrals and a center spine force sequencing before any direct breach is safe."
W4-10,4,10,400,272,"",4,5,"Player parity by count but not by pressure. Triple-purple support on the right punishes any slow consolidation."
W4-11,4,11,320,248,"",4,5,"Hostiles outnumber the player from the start. Side neutrals are survival tools, not bonuses."
W4-12,4,12,360,266,"",5,4,"Dual-start crossfire with a central gate. The player must convert one side neutral before the inner wall can be challenged."
W4-13,4,13,390,286,"",5,5,"Purple-heavy late-game routing. The center neutral is reachable, but only through a layered obstacle braid."
W4-14,4,14,430,304,"",5,5,"Red-dominant upper fortress. Two player starts must stay coordinated or the right-side hostile stack snowballs."
W4-15,4,15,450,320,"",5,5,"Late single-front maze. Mixed neutral staging and five capsules make route choice matter more than raw cap."
W4-16,4,16,80,112,"",5,3,"Final-world low-cap constraint. One player cell and five capsules force exact disconnect-reconnect discipline under purple-leaning pressure."
W4-17,4,17,360,292,"",5,4,"Endgame gauntlet begins. Two player starts push through alternating corridors into a full coalition spread."
W4-18,4,18,440,334,"",6,6,"Full coalition survival map. Six capsules and six hostiles demand that the player turn the center-left foothold into a stable support lattice."
W4-19,4,19,500,360,"",6,5,"Pre-boss endurance wall. Three player starts are necessary just to contest the staggered late-game fortress."
